severity,ppt,tmax,vpdmax,fuel_model,vegetation_type,canopy_cover,slope_deg,aspect_deg,elevation_m,treated,fire,x,y,fuel_model_group,vegetation_type_group
573,5.7430997,32.714,42.044598,165,7031,35,1,-1,1460,1,Antelope_2021,-121.91798247299212,41.587120573005905,Timber-Understory,Tree
388,5.9716997,32.726997,41.945698,121,7904,0,1,-1,1426,1,Antelope_2021,-121.92775100157176,41.61293626114907,Grass-Shrub,Shrub
38,6.2787,32.641,41.979298,145,7080,15,0,-1,1428,1,Antelope_2021,-121.93752671265543,41.638751895989756,Shrub,Shrub
-76,7.0614996,32.3839,40.807198,122,7105,0,1,-1,1394,1,Antelope_2021,-121.94730961396056,41.66456748281525,Grass-Shrub,Shrub
31,7.2556996,32.1834,40.7566,122,7017,35,0,-1,1360,1,Antelope_2021,-121.95709971321531,41.69038302691912,Grass-Shrub,Tree
212,7.2556996,32.1834,40.7566,122,7017,25,1,-1,1367,1,Antelope_2021,-121.96689701815866,41.71619853360146,Grass-Shrub,Tree
26,8.1484995,32.0403,39.9046,102,7105,0,5,294,1362,1,Antelope_2021,-121.97670153654025,41.74201400816888,Grass,Shrub
-127,7.3238997,32.1474,39.7738,102,9828,0,2,-1,1303,1,Antelope_2021,-121.98651327612069,41.767829455934454,Grass,Herb
640,7.5023,32.055798,39.1918,102,7966,0,0,-1,1299,0,Antelope_2021,-121.99633224467121,41.79364488221774,Grass,Herb
-19,7.6057,32.038097,39.2025,102,7966,0,0,-1,1299,1,Antelope_2021,-122.00615844997408,41.81946029234491,Grass,Herb
0,3.3525999,31.872799,41.1431,165,7172,0,9,201,1644,0,Antelope_2021,-121.81496940515291,41.41360481747163,Timber-Understory,Tree
-32,3.3646,32.1499,41.9237,165,7172,0,0,-1,1518,0,Antelope_2021,-121.82467609159372,41.43942384457147,Timber-Understory,Tree
-98,3.3646,32.1499,41.9237,165,7172,0,1,-1,1562,0,Antelope_2021,-121.8343898996318,41.46524278522743,Timber-Understory,Tree
-1,3.3795,30.5506,38.178898,165,7028,45,5,194,1662,0,Antelope_2021,-121.84411083690433,41.49106164468848,Timber-Understory,Tree
42,3.3795,30.5506,38.178898,165,7172,55,2,-1,1782,0,Antelope_2021,-121.85383891105904,41.51688042820977,Timber-Understory,Tree
949,4.8212,31.167599,39.479,184,7032,55,3,289,1727,0,Antelope_2021,-121.86357412975426,41.54269914105286,Timber Litter,Tree
722,5.8079,32.7178,42.5956,165,7172,0,3,347,1553,0,Antelope_2021,-121.87331650065909,41.56851778848569,Timber-Understory,Tree
